student_id,origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,world_university_rank,study_duration,stem_flag,placed_flag,scholarship_flag,stay_in_canada
S01739,0,9,28,49,5,5,2023.0,Yes,4,2026.0,Not Placed,UK,9,-0.8785035087145754,-1.594972696657538,0,3,3,-0.11171867306647898,-0.3407459088613769,3.0,0,0,1,0
S01560,0,5,32,11,3,4,2022.0,Yes,1,2024.0,Placed,Russia,11,0.0014092525352671801,0.23961049888053007,5,4,3,0.6953999764204246,-0.28549519127799955,2.0,0,1,1,0
S04598,9,0,48,69,9,2,2020.0,Yes,1,2022.0,Placed,Canada,7,0.3512329415217645,1.0059553780293433,4,0,0,-1.8941056906833906,-0.5249149674726347,2.0,1,1,1,1
S00071,5,1,46,43,6,1,2019.0,No,2,2022.0,Placed,Finland,8,0.7116059610763119,-1.4556372640850264,2,2,0,-0.11171867306647898,-0.28549519127799955,3.0,0,1,0,0
S01874,3,9,42,47,7,0,2021.0,Yes,0,2022.0,Placed,USA,0,1.1828159659075124,1.586519680414808,3,0,3,0.9980694699780132,-0.7275009319450181,1.0,0,1,1,0
S03041,3,5,24,19,12,4,2019.0,No,4,2022.0,Not Placed,UK,9,-0.8785035087145754,0.14672021049885567,3,2,1,0.42636042659145684,-0.28549519127799955,3.0,0,0,0,0
S04484,3,2,45,68,10,6,2019.0,Yes,2,2021.0,Placed,Germany,9,1.698076820250907,1.0988456664110178,0,2,2,0.12369093303386793,4.8344046381149655,2.0,0,1,1,0
S03381,6,2,45,68,5,2,2020.0,Yes,3,2022.0,Placed,Germany,6,-0.20975482419977592,-0.8054052454133065,4,4,0,-1.8941056906833906,4.8344046381149655,2.0,1,1,1,0
S03341,3,0,37,65,10,1,2019.0,Yes,1,2021.0,Not Placed,UK,9,-0.8785035087145754,-1.130521254749167,2,1,2,0.9980694699780132,-0.28549519127799955,2.0,0,0,1,0
S02252,8,0,27,72,4,6,2023.0,Yes,2,2025.0,Placed,Canada,8,1.4680225403678413,1.4936293920331336,2,2,2,0.5608802015059405,1.611446112417955,2.0,0,1,1,1
S04887,2,0,31,28,8,0,2023.0,Yes,1,2026.0,Not Placed,UK,9,-0.8785035087145754,-1.7110855571346315,4,1,0,0.7962898076062874,-0.41441353230587996,3.0,0,0,1,0
S00903,0,8,4,53,8,5,2023.0,Yes,3,2026.0,Not Placed,UK,9,-0.8785035087145754,0.8433973733614127,4,1,0,-1.8941056906833906,0.6353501017782891,3.0,0,0,1,0
S03654,3,8,27,21,4,5,2021.0,No,4,2022.0,Placed,UK,2,0.9458010996870232,-0.8750729616995618,3,2,0,-0.21260850425234185,-0.35916281472250267,1.0,0,1,0,0
S04506,7,9,42,47,3,7,2021.0,Yes,1,2024.0,Placed,USA,1,1.9864186163193105,1.0988456664110178,1,2,3,0.12369093303386793,-0.7275009319450181,3.0,0,1,1,0
S01209,0,9,42,40,2,0,2019.0,Yes,4,2021.0,Placed,USA,8,1.4638422448904085,1.0524005222201807,0,4,0,-1.8941056906833906,-0.819585461250647,2.0,0,1,1,0
S01226,9,2,0,36,4,2,2021.0,No,2,2022.0,Not Placed,UK,9,-0.8785035087145754,0.9827328059339243,5,1,0,-1.8941056906833906,1.040522030723056,1.0,1,0,0,0
S03129,3,8,15,60,12,0,2020.0,Yes,0,2021.0,Placed,UK,11,0.5479434494598344,0.26283307097594816,4,0,0,0.056431045576625906,-0.5064980616115089,1.0,0,1,1,0
S00941,4,7,12,58,14,2,2023.0,Yes,0,2025.0,Placed,UAE,5,1.9906777852963176,0.8666199454568319,5,4,1,0.2245807642197308,-0.28549519127799955,2.0,1,1,1,0
S01268,5,8,38,66,5,1,2022.0,Yes,0,2024.0,Not Placed,UK,9,-0.8785035087145754,0.8666199454568319,3,1,0,-1.8941056906833906,-0.8564192729728985,2.0,0,0,1,0
S02282,6,8,15,60,12,3,2022.0,No,3,2025.0,Placed,UK,9,0.5241236525884242,-0.01583779416907404,5,3,3,0.056431045576625906,-0.5064980616115089,3.0,1,1,0,0
S03961,7,1,22,59,3,5,2021.0,No,0,2023.0,Not Placed,UK,9,-0.8785035087145754,-0.7589601012224693,0,0,1,0.9644395262493923,-0.28549519127799955,2.0,0,0,0,0
S03330,1,5,36,34,11,4,2020.0,Yes,4,2021.0,Placed,Russia,7,1.6497668017617055,-1.7343081292300495,3,3,2,0.49362031404869855,-0.28549519127799955,1.0,0,1,1,0
S02566,1,2,45,68,0,3,2019.0,Yes,3,2020.0,Not Placed,UK,9,-0.8785035087145754,-0.5035118081728652,0,4,0,-1.8941056906833906,4.8344046381149655,1.0,1,0,1,0
S04843,7,1,46,43,11,7,2020.0,No,1,2023.0,Placed,Finland,0,1.200542784936815,-0.9911858221766553,5,2,2,0.2245807642197308,-0.28549519127799955,3.0,0,1,0,0
S01015,6,5,32,11,8,6,2020.0,Yes,4,2023.0,Placed,Russia,3,0.05074462651893306,-0.5035118081728652,4,2,3,0.2918406516769728,-0.28549519127799955,3.0,0,1,1,0
S04909,9,0,50,54,11,2,2021.0,Yes,2,2022.0,Not Placed,UK,9,-0.8785035087145754,-1.7110855571346315,5,3,0,0.7626598638776666,-0.28549519127799955,1.0,1,0,1,0
S00726,4,8,15,60,13,1,2021.0,Yes,3,2024.0,Not Placed,UK,9,-0.8785035087145754,0.26283307097594816,1,4,3,0.19095082049110992,-0.5064980616115089,3.0,0,0,1,0
S04304,1,6,23,62,9,3,2021.0,Yes,0,2023.0,Placed,South Africa,0,1.3975096317485012,-1.362746975703352,4,2,0,0.3591005391342148,-0.28549519127799955,2.0,1,1,1,0
S00140,9,3,8,16,13,7,2020.0,Yes,3,2021.0,Not Placed,UK,9,-0.8785035087145754,1.4239616757468772,5,0,3,0.5945101452345617,-0.28549519127799955,1.0,0,0,1,0
S00731,9,8,6,55,2,5,2019.0,Yes,1,2020.0,Not Placed,UK,9,-0.8785035087145754,0.4950587919301342,1,2,0,0.49362031404869855,-0.8748361788340243,1.0,0,0,1,0
S02624,0,5,32,30,2,5,2021.0,Yes,0,2022.0,Placed,Russia,2,0.13931956654076644,0.6808393686934829,1,0,2,0.5608802015059405,-0.28549519127799955,1.0,0,1,1,0
S02278,0,6,44,41,5,3,2023.0,Yes,3,2025.0,Placed,South Africa,6,0.2703087309586291,-0.38739894769577166,0,0,3,-0.14534861679509983,-0.28549519127799955,2.0,1,1,1,0
S04045,9,1,26,23,11,2,2022.0,No,0,2023.0,Not Placed,UK,9,-0.8785035087145754,0.4950587919301342,1,4,2,0.9308095825207715,-0.28549519127799955,1.0,1,0,0,0
S04911,9,3,8,16,6,5,2021.0,Yes,3,2023.0,Placed,India,11,0.5101630431637897,-0.7589601012224693,5,3,0,-1.8941056906833906,-0.28549519127799955,2.0,0,1,1,0
S02521,7,3,2,13,8,7,2023.0,No,2,2026.0,Placed,India,9,-0.2216844410103746,0.9362876617430871,2,0,2,0.2918406516769728,0.5800993841949118,3.0,0,1,0,0
S01090,6,0,50,39,11,2,2021.0,Yes,1,2022.0,Not Placed,UK,9,-0.8785035087145754,0.4718362198347161,2,2,3,0.9644395262493923,-0.28549519127799955,1.0,1,0,1,0
S01690,7,6,40,67,14,1,2021.0,Yes,4,2023.0,Not Placed,UK,9,-0.8785035087145754,-1.2234115431308403,4,1,0,0.5272502577773197,-0.28549519127799955,2.0,0,0,1,0
S00127,2,3,47,31,6,7,2021.0,No,0,2022.0,Not Placed,UK,9,-0.8785035087145754,-1.2698566873216774,0,3,3,0.8635496950635292,-0.28549519127799955,1.0,0,0,0,0
S01256,0,6,23,62,2,6,2020.0,Yes,1,2022.0,Placed,South Africa,0,0.7571554070804158,0.16994278259427376,0,3,0,0.9980694699780132,-0.28549519127799955,2.0,0,1,1,0
S02415,6,3,2,13,5,6,2023.0,Yes,0,2026.0,Placed,India,3,1.7208121065031716,0.3789459314530417,5,1,0,-1.8941056906833906,0.5800993841949118,3.0,0,1,1,0
S03047,1,0,27,72,14,5,2023.0,No,2,2024.0,Placed,Canada,7,1.4785324341861044,-0.10872808255074845,4,3,2,-0.07808872933785782,1.611446112417955,1.0,0,1,0,1
S04378,6,4,13,45,2,7,2019.0,No,4,2020.0,Not Placed,UK,9,-0.8785035087145754,0.3092782151667854,5,3,0,0.32547059540559364,-0.28549519127799955,1.0,0,0,0,0
S03372,3,1,22,59,12,6,2023.0,No,4,2026.0,Not Placed,UK,9,-0.8785035087145754,-1.2466341152262594,3,4,3,0.7626598638776666,-0.28549519127799955,3.0,0,0,0,0
S01478,6,5,36,34,0,1,2023.0,Yes,0,2026.0,Not Placed,UK,9,-0.8785035087145754,-0.689292384936213,2,4,1,0.6281400889631826,-0.28549519127799955,3.0,0,0,1,0
S01729,5,8,6,55,9,4,2023.0,Yes,2,2026.0,Not Placed,UK,9,-0.8785035087145754,-0.29450865931409725,0,0,0,0.3591005391342148,-0.8748361788340243,3.0,0,0,1,0
S01825,6,9,42,47,10,0,2022.0,Yes,0,2024.0,Placed,USA,7,0.20523809380990912,0.8201748012659946,0,3,2,0.5945101452345617,-0.7275009319450181,2.0,0,1,1,0
S02612,8,0,48,69,11,4,2023.0,No,0,2026.0,Not Placed,UK,9,-0.8785035087145754,1.2149585268881102,1,2,1,-0.010828841880616107,-0.5249149674726347,3.0,0,0,0,0
S00571,7,9,35,5,4,5,2023.0,Yes,4,2024.0,Placed,USA,0,1.198708976071715,-0.10872808255074845,5,0,1,0.12369093303386793,-0.580165685056012,1.0,0,1,1,0
S01074,3,0,31,28,1,6,2020.0,No,4,2021.0,Not Placed,UK,9,-0.8785035087145754,-0.20161837093242285,4,3,0,-1.8941056906833906,-0.41441353230587996,1.0,0,0,0,0
S04180,4,2,45,68,10,1,2022.0,No,2,2024.0,Not Placed,UK,9,-0.8785035087145754,0.8898425175522499,1,1,2,0.9308095825207715,4.8344046381149655,2.0,0,0,0,0
S01597,6,7,1,73,13,4,2020.0,No,4,2022.0,Placed,UAE,9,0.6600818474794617,-0.7821826733178874,2,1,2,0.42636042659145684,-0.28549519127799955,2.0,0,1,0,0
S03446,0,7,12,10,2,7,2023.0,Yes,4,2025.0,Placed,UAE,12,1.6270512338843344,-1.409192119894189,3,4,2,-0.07808872933785782,-0.28549519127799955,2.0,0,1,1,0
S04097,5,9,28,49,5,6,2019.0,No,0,2021.0,Placed,USA,0,-0.21287032743295708,-0.898295533794981,1,1,1,0.02280110184800505,-0.3407459088613769,2.0,0,1,0,0
S00158,8,9,35,5,7,4,2021.0,Yes,3,2022.0,Not Placed,UK,9,-0.8785035087145754,-0.4338440918866089,5,2,3,0.32547059540559364,-0.580165685056012,1.0,0,0,1,0
S01581,5,0,50,54,12,6,2022.0,Yes,2,2023.0,Not Placed,UK,9,-0.8785035087145754,1.4471842478422963,0,0,0,0.8971796387921507,-0.28549519127799955,1.0,0,0,1,0
S04727,9,8,27,21,14,6,2022.0,No,1,2025.0,Not Placed,UK,9,-0.8785035087145754,0.9362876617430871,4,4,0,-1.8941056906833906,-0.35916281472250267,3.0,0,0,0,0
S04527,8,4,13,51,13,2,2019.0,Yes,1,2020.0,Placed,Ireland,9,0.20279301532310876,-1.4324146919896081,3,4,2,0.6281400889631826,-0.28549519127799955,1.0,1,1,1,0
S03722,5,0,50,54,3,7,2022.0,Yes,3,2023.0,Placed,Canada,12,0.5188785648667394,-0.3409538035049345,1,0,1,0.25821070794835194,-0.28549519127799955,1.0,0,1,1,1
S02225,4,6,19,37,9,7,2022.0,No,3,2024.0,Not Placed,UK,9,-0.8785035087145754,0.7969522291705755,0,2,0,0.6617700326918035,-0.28549519127799955,2.0,0,0,0,0
S01223,0,3,2,13,13,2,2022.0,No,0,2025.0,Placed,India,10,0.18461267367125425,0.12349763840343654,5,3,0,-1.8941056906833906,0.5800993841949118,3.0,1,1,0,0
S04632,4,2,34,22,4,7,2019.0,No,3,2022.0,Placed,Germany,8,0.17733659333553375,-0.31773123140951637,5,3,3,0.5945101452345617,-0.28549519127799955,3.0,0,1,0,0
S01903,5,4,13,46,14,7,2020.0,No,1,2022.0,Placed,Ireland,0,-0.06080222025388783,0.35572335935762256,2,2,0,-0.11171867306647898,1.279941806917691,2.0,0,1,0,0
S03143,2,9,5,8,8,0,2022.0,Yes,0,2024.0,Not Placed,UK,9,-0.8785035087145754,-0.41062151979119077,1,0,1,1.031699413706634,-0.8380023671117728,2.0,0,0,1,0
S01699,1,6,44,41,12,7,2022.0,No,1,2023.0,Placed,South Africa,8,1.2879740592148226,-0.9447406779858181,4,4,3,1.0989593011638763,-0.28549519127799955,1.0,0,1,0,0
S02596,2,7,43,2,0,3,2019.0,No,1,2020.0,Placed,UAE,5,0.5180109563714231,-1.4556372640850264,3,3,3,1.0653293574352556,-0.28549519127799955,1.0,1,1,0,0
S00687,5,8,15,60,4,7,2022.0,Yes,4,2025.0,Placed,UK,8,2.0592188564263028,1.37751653155604,0,1,1,0.12369093303386793,-0.5064980616115089,3.0,0,1,1,0
S03579,8,6,7,56,6,5,2023.0,No,1,2026.0,Not Placed,UK,9,-0.8785035087145754,0.007384777926344049,4,0,3,0.42636042659145684,3.195300016474772,3.0,0,0,0,0
S02606,7,2,0,36,4,1,2022.0,Yes,2,2024.0,Placed,Germany,4,1.3757405458660203,-1.1072986826537479,4,0,1,0.8971796387921507,1.040522030723056,2.0,0,1,1,0
S01190,4,6,19,37,12,0,2020.0,No,1,2022.0,Not Placed,UK,9,-0.8785035087145754,0.3325007872622045,2,1,2,0.5272502577773197,-0.28549519127799955,2.0,0,0,0,0
S01460,2,4,13,7,5,7,2021.0,Yes,3,2023.0,Not Placed,UK,9,-0.8785035087145754,-1.130521254749167,0,0,1,0.02280110184800505,-0.28549519127799955,2.0,0,0,1,0
S01265,9,2,34,44,13,0,2019.0,Yes,3,2020.0,Placed,Germany,5,-0.10976294511457622,-0.22484094302784197,0,1,3,0.7290299201490454,-0.08290922680561606,1.0,0,1,1,0
S01173,0,1,49,0,14,4,2021.0,Yes,3,2024.0,Not Placed,UK,9,-0.8785035087145754,0.9595102338385062,1,4,2,-0.21260850425234185,-0.28549519127799955,3.0,0,0,1,0
S01568,8,9,42,47,6,7,2023.0,Yes,0,2026.0,Not Placed,UK,9,-0.8785035087145754,1.6561873967010632,4,0,0,0.3927304828628357,-0.7275009319450181,3.0,0,0,1,0
S01166,9,7,12,10,1,0,2023.0,Yes,2,2025.0,Not Placed,UK,9,-0.8785035087145754,-0.9679632500812362,3,0,2,0.056431045576625906,-0.28549519127799955,2.0,0,0,1,0
S00164,7,1,26,23,12,6,2021.0,No,0,2022.0,Placed,Finland,0,-0.15119125076592796,0.4718362198347161,5,2,2,1.0989593011638763,-0.28549519127799955,1.0,0,1,0,0
S02633,8,2,34,22,3,5,2019.0,No,3,2020.0,Placed,Germany,1,1.3552925911014073,-0.01583779416907404,5,2,2,1.0653293574352556,-0.28549519127799955,1.0,0,1,0,0
S01538,3,7,1,20,0,0,2023.0,No,3,2026.0,Placed,UAE,12,0.34208361557115663,1.4936293920331336,2,4,0,-1.8941056906833906,-0.28549519127799955,3.0,0,1,0,0
S02665,4,8,27,48,10,7,2019.0,Yes,4,2020.0,Not Placed,UK,9,-0.8785035087145754,1.5168519641285516,0,2,0,0.49362031404869855,-0.7459178378061438,1.0,0,0,1,0
S03048,3,6,19,37,12,2,2020.0,Yes,0,2021.0,Placed,South Africa,10,0.9939928079268631,-1.2698566873216774,0,2,0,-1.8941056906833906,-0.28549519127799955,1.0,1,1,1,0
S03503,1,5,36,34,11,3,2023.0,No,2,2024.0,Placed,Russia,8,0.10986031444980048,-0.9679632500812362,0,3,2,0.9980694699780132,-0.28549519127799955,1.0,1,1,0,0
S02859,4,1,21,61,5,7,2023.0,Yes,3,2026.0,Placed,Finland,7,-0.09603895618866438,1.2149585268881102,5,1,3,-0.010828841880616107,0.966854407278553,3.0,0,1,1,0
S01998,2,3,8,16,8,5,2021.0,Yes,2,2023.0,Not Placed,UK,9,-0.8785035087145754,-0.9911858221766553,4,2,0,0.49362031404869855,-0.28549519127799955,2.0,0,0,1,0
S01633,0,7,1,20,0,1,2019.0,Yes,1,2021.0,Placed,UAE,2,1.9593650059653578,-0.20161837093242285,0,0,3,0.7962898076062874,-0.28549519127799955,2.0,0,1,1,0
S02588,7,8,27,17,14,6,2023.0,Yes,0,2025.0,Not Placed,UK,9,-0.8785035087145754,0.4950587919301342,4,3,1,0.42636042659145684,-0.8011685553895213,2.0,0,0,1,0
S02824,2,3,11,6,4,0,2021.0,Yes,3,2022.0,Not Placed,UK,9,-0.8785035087145754,0.44861364773929696,1,2,0,-1.8941056906833906,-0.28549519127799955,1.0,0,0,1,0
S00199,8,3,11,18,14,2,2023.0,Yes,1,2025.0,Placed,India,0,1.5652538469679438,0.9362876617430871,2,2,3,0.5945101452345617,-0.28549519127799955,2.0,1,1,1,0
S02341,1,9,28,49,12,7,2020.0,Yes,1,2022.0,Not Placed,UK,9,-0.8785035087145754,-0.2712860872186792,2,0,3,-0.14534861679509983,-0.3407459088613769,2.0,0,0,1,0
S04318,4,8,6,55,10,3,2023.0,No,3,2024.0,Not Placed,UK,9,-0.8785035087145754,-1.385969547798771,5,1,3,0.25821070794835194,-0.8748361788340243,1.0,1,0,0,0
S04773,3,7,12,26,11,0,2019.0,No,0,2022.0,Placed,UAE,10,0.1518210162232781,-1.4324146919896081,0,2,0,0.3927304828628357,-0.28549519127799955,3.0,0,1,0,0
S00405,1,0,50,39,7,1,2019.0,Yes,0,2022.0,Placed,Canada,9,0.6597466351062714,1.5168519641285516,1,2,1,0.6281400889631826,-0.28549519127799955,3.0,0,1,1,1
S00174,8,3,11,18,4,6,2022.0,Yes,3,2024.0,Not Placed,UK,9,-0.8785035087145754,0.21638792678511096,1,0,0,0.2245807642197308,-0.28549519127799955,2.0,0,0,1,0
S01753,2,7,12,29,8,3,2019.0,No,2,2021.0,Placed,UAE,6,1.0128435743250983,0.8666199454568319,4,1,3,1.031699413706634,-0.28549519127799955,2.0,1,1,0,0
S02712,4,2,34,44,8,2,2021.0,Yes,2,2024.0,Placed,Germany,6,0.1851647881682737,-0.29450865931409725,0,4,0,-1.8941056906833906,-0.08290922680561606,3.0,1,1,1,0
S02015,9,4,13,46,1,7,2019.0,No,2,2021.0,Placed,Ireland,8,0.31995959894059184,-0.41062151979119077,5,4,0,-1.8941056906833906,1.279941806917691,2.0,0,1,0,0
S04758,6,2,20,9,2,1,2020.0,Yes,3,2021.0,Not Placed,UK,9,-0.8785035087145754,0.8898425175522499,3,0,1,-0.04445878560923697,-0.28549519127799955,1.0,0,0,1,0
S03884,8,7,12,26,2,5,2022.0,No,2,2024.0,Not Placed,UK,9,-0.8785035087145754,-0.8054052454133065,0,2,1,-0.07808872933785782,-0.28549519127799955,2.0,0,0,0,0
S02992,2,0,50,54,6,3,2020.0,No,0,2021.0,Placed,Canada,10,1.237830231860521,-1.362746975703352,4,2,3,0.12369093303386793,-0.28549519127799955,1.0,1,1,0,1
S01477,7,9,42,47,4,4,2022.0,Yes,4,2023.0,Not Placed,UK,9,-0.8785035087145754,1.331071387365203,0,4,3,0.7626598638776666,-0.7275009319450181,1.0,0,0,1,0
S04189,4,3,11,18,6,6,2021.0,No,3,2024.0,Not Placed,UK,9,-0.8785035087145754,1.7026325408919005,2,1,0,0.9308095825207715,-0.28549519127799955,3.0,0,0,0,0
S04567,9,6,19,37,3,4,2023.0,Yes,3,2026.0,Placed,South Africa,4,2.014852512915812,-0.08550551045533036,1,4,3,0.5945101452345617,-0.28549519127799955,3.0,0,1,1,0
S00035,1,2,34,44,5,1,2020.0,Yes,1,2022.0,Not Placed,UK,9,-0.8785035087145754,-0.22484094302784197,1,0,1,0.2245807642197308,-0.08290922680561606,2.0,0,0,1,0
S00466,9,8,38,66,6,0,2023.0,Yes,3,2025.0,Not Placed,UK,9,-0.8785035087145754,0.5647265082163905,5,0,1,0.45999037032007767,-0.8564192729728985,2.0,0,0,1,0
S03128,2,3,39,3,14,5,2023.0,No,3,2026.0,Placed,India,10,0.26165236438036,0.05382992211718125,5,1,0,-0.07808872933785782,-0.28549519127799955,3.0,0,1,0,0
S00525,3,8,29,64,5,5,2020.0,Yes,2,2021.0,Placed,UK,4,-0.16116874846206503,0.26283307097594816,5,0,2,0.2918406516769728,-0.41441353230587996,1.0,0,1,1,0
S03296,4,3,11,15,14,7,2019.0,No,0,2021.0,Placed,India,5,0.43351771995255495,-0.38739894769577166,1,3,1,0.25821070794835194,2.348122346862986,2.0,0,1,0,0
S00577,7,3,33,14,4,2,2023.0,No,3,2025.0,Placed,India,5,-0.25520567832941216,-1.130521254749167,4,0,1,0.8299197513349084,-0.08290922680561606,2.0,1,1,0,0
S02257,7,0,16,52,4,1,2019.0,No,3,2022.0,Not Placed,UK,9,-0.8785035087145754,-1.6646404129437942,0,3,2,1.031699413706634,1.114189654167559,3.0,0,0,0,0
S04794,9,6,44,41,6,3,2019.0,Yes,1,2020.0,Placed,South Africa,7,-0.11134041510606035,0.8666199454568319,4,4,0,0.6281400889631826,-0.28549519127799955,1.0,1,1,1,0
S00593,4,5,24,19,13,5,2021.0,No,4,2023.0,Not Placed,UK,9,-0.8785035087145754,0.28605564307136727,0,2,0,-0.14534861679509983,-0.28549519127799955,2.0,0,0,0,0
S00083,1,8,27,17,13,3,2023.0,Yes,0,2026.0,Not Placed,UK,9,-0.8785035087145754,-1.385969547798771,2,2,0,0.9644395262493923,-0.8011685553895213,3.0,1,0,1,0
S01726,1,2,45,68,2,0,2023.0,No,0,2025.0,Not Placed,UK,9,-0.8785035087145754,1.5168519641285516,2,3,1,0.32547059540559364,4.8344046381149655,2.0,0,0,0,0
S04568,6,1,22,59,7,5,2020.0,Yes,0,2021.0,Not Placed,UK,9,-0.8785035087145754,-0.3641763756003536,0,2,1,0.8299197513349084,-0.28549519127799955,1.0,0,0,1,0
S02772,5,7,12,29,5,1,2023.0,No,4,2026.0,Not Placed,UK,9,-0.8785035087145754,-1.385969547798771,1,2,3,0.5945101452345617,-0.28549519127799955,3.0,0,0,0,0
S04599,3,0,25,35,2,2,2023.0,Yes,0,2026.0,Placed,Canada,7,1.1293002964464136,-0.5267343802682832,4,2,2,0.42636042659145684,3.6188888512806643,3.0,1,1,1,1
S01928,3,0,16,52,6,1,2022.0,Yes,0,2023.0,Not Placed,UK,9,-0.8785035087145754,0.4021685035484598,1,1,2,0.49362031404869855,1.114189654167559,1.0,0,0,1,0
S02171,6,7,12,29,11,1,2023.0,No,4,2025.0,Placed,UAE,3,0.9704885050537496,0.9362876617430871,4,3,3,1.031699413706634,-0.28549519127799955,2.0,0,1,0,0
S04313,0,6,23,62,1,5,2021.0,No,4,2023.0,Placed,South Africa,0,0.3848922074650569,-1.5253049803712826,3,0,3,0.45999037032007767,-0.28549519127799955,2.0,0,1,0,0
S02691,8,0,16,52,7,0,2019.0,Yes,1,2021.0,Not Placed,UK,9,-0.8785035087145754,-0.17839579883700477,1,0,0,-0.11171867306647898,1.114189654167559,2.0,0,0,1,0
S02778,5,0,27,72,4,3,2023.0,Yes,3,2026.0,Placed,Canada,11,0.3002017872972532,-1.594972696657538,5,1,0,-1.8941056906833906,1.611446112417955,3.0,1,1,1,1
S04770,3,7,12,10,1,6,2021.0,Yes,3,2024.0,Not Placed,UK,9,-0.8785035087145754,-0.8518503896041437,0,0,0,-1.8941056906833906,-0.28549519127799955,3.0,0,0,1,0
S00184,2,6,7,56,11,5,2019.0,No,4,2020.0,Not Placed,UK,9,-0.8785035087145754,0.9595102338385062,0,0,1,0.09006098930524706,3.195300016474772,1.0,0,0,0,0
S00439,6,4,10,50,8,2,2023.0,Yes,0,2025.0,Not Placed,UK,9,-0.8785035087145754,0.5182813640255532,0,3,0,-1.8941056906833906,-0.28549519127799955,2.0,1,0,1,0
S00034,6,1,49,70,13,7,2019.0,Yes,3,2021.0,Placed,Finland,5,0.6564339481241548,-0.31773123140951637,2,2,0,-1.8941056906833906,-0.28549519127799955,2.0,0,1,1,0
S00187,4,6,19,37,14,1,2023.0,No,2,2025.0,Placed,South Africa,12,1.224993569804819,0.12349763840343654,4,2,3,0.9980694699780132,-0.28549519127799955,2.0,0,1,0,0
S01866,2,5,41,38,0,7,2019.0,Yes,3,2022.0,Not Placed,UK,9,-0.8785035087145754,0.7969522291705755,2,4,0,-1.8941056906833906,-0.28549519127799955,3.0,0,0,1,0
S03877,4,3,8,16,2,6,2023.0,No,4,2026.0,Not Placed,UK,9,-0.8785035087145754,1.354293959460622,5,4,0,-0.178978560523721,-0.28549519127799955,3.0,0,0,0,0
S04509,0,8,27,17,5,7,2022.0,No,3,2025.0,Placed,UK,12,-0.043055682849691475,-0.01583779416907404,2,2,0,-0.010828841880616107,-0.8011685553895213,3.0,0,1,0,0
